,video_id,video_title,upload_date,view_count,like_count,comment_count
91,jjD4RMn3cSE,Маргинал и Авигдор Эскин про Мировое еврейство,2021-09-29,16345,712,136
92,KbLKCKYQ2Hg,Маргинал смотрит оценки внешности Стаса в чат рулетке,2021-09-28,33610,2326,137
93,4kuU5NNU8Dk,Маргинал и Авигдор Эскин про 11 сентября и борьбу с терроризмом,2021-09-27,27509,1101,156
94,1SgkVYkrnvc,Маргинал смотрит пупы #8,2021-09-26,69821,3030,120
95,yUl17-Gs5VI,Маргинал про свидетелей повесточки,2021-09-25,42328,1563,490
96,WWSkj5hhvPo,Маргинал смотрит про деревню нацистов в Германии,2021-09-24,50412,2364,413
97,Itvz35F2vl0,Маргинал смотрит про Вальхаллу,2021-09-23,24388,1036,191
98,4jRH2WNRzMw,Маргинал про доносительство,2021-09-22,32967,1455,232
99,EvKPvhCODck,Маргинал смотрит про герундий (-ing),2021-09-21,16189,943,78
100,byqugIT9vtk,Маргинал смотрит разоблачение эксперимента Либета про мозг и сознание,2021-09-19,55228,2187,300
101,pAx5AsFYCho,Маргинал смотрит Понасенкова и Иванова про мифы,2021-09-18,38600,1222,66
102,dtOeG7_wngA,Маргинал про политические взгляды большинства людей,2021-09-17,103838,4436,733
103,JxL5hZEDok4,Маргинал смотрит про фильмы про эпидемии,2021-09-16,39880,1241,82
104,eSddBDef4tI,Маргинал смотрит лысого банкрота и монгола на Украине,2021-09-15,22070,690,229
105,OiiNnaOTkfw,Маргинал смотрит видосы по философии: онтология и деление на школы мысли,2021-09-14,24613,872,89
106,TXmU88Ze72w,Маргинал смотрит оценки внешности Ежи Сармата в чат рулетке,2021-09-13,26688,1224,131
107,jjoenifTQk8,Маргинал смотрит про фильм Хищник 2,2021-09-12,22686,963,44
108,qwU3zn0bprI,Маргинал критикует очередного коммуниста про неравенство при капитализме,2021-09-11,86131,2784,269
109,UG3-tXPZDjY,Маргинал смотрит и спорит про домашнее обучение,2021-09-10,68077,3198,727
110,ALP6cyr5M7o,Маргинал смотрит Дока про Отряд Самоубийц 2,2021-09-08,32214,1063,186
111,PtG7kpUyPP8,Маргинал раскрыл свою позицию про технику,2021-09-07,42715,1633,582
112,HRuOqr4lJ2M,Маргинал смотрит про восприятие слов на слух,2021-09-06,17868,546,108
113,PhGwW7kWKEo,Маргинал про будущее европейской культуры,2021-09-04,55000,2419,801
114,4TXVrWnmDsI,Маргинал про серию игр Dark Souls,2021-09-03,32782,790,458
115,Qq7SSE5P1kA,Маргинал пояснил за континентальную философию,2021-09-02,20369,1038,86
116,Ahh22IuICcs,Маргинал критикует видео про Масленицу и Крещение Руси,2021-09-01,57010,2191,252
117,BxrVcPE_LOI,Маргинал про способы изучения философии,2021-08-31,25101,1014,81
118,--C2jjvjOB0,Маргинал смотрит про политику в академической среде,2021-08-29,25986,876,122
119,Z1z54ne879c,Маргинал про ситуацию в Афганистане,2021-08-28,42725,1807,182
120,puWfxOwQOC8,Маргинал смотрит про морскую пехоту США,2021-08-27,24119,631,176
121,eOimxfJdSgM,Маргинал смотрит Бигу Егорова и его разоблачение на куклы Monster High,2021-08-25,28323,1595,272
122,d4xvc0aHViM,Маргинал и Кашин обсуждают политику,2021-08-24,35950,1452,187
123,qGpjYLZC954,Маргинал смотрит пупы #7,2021-08-23,122511,4114,127
124,cgnhz1AwZxg,Маргинал взлетает под звуки из ада,2021-08-22,29475,2557,306
125,z_eXP9-GXd0,Маргинал смотрит обзор на фильм Крик,2021-08-20,31249,1163,130
126,3O-iJkvRe3M,"Мирная беседа Маргинала, Каргина и Авигдора Эскина",2021-08-19,18125,780,327
127,ocgAtbFKraI,Маргинал отвечает на критику в свой адрес,2021-08-18,32052,1521,226
128,dTctunMBTWM,Маргинал смотрит про сверхчеловека в кино,2021-08-17,39680,1479,186
129,qtFE4RukoF8,Маргинал смотрит про двойные точки над гласными,2021-08-16,16475,878,49
130,fpawMd5jXQ8,Маргинал смотрит Красного Циника про Цвет из иных миров,2021-08-14,89631,2855,431
131,1dhDttvB7pM,Веллер в гостях у Маргинала и Каргина,2021-08-12,58627,3247,799
132,ldDs6osCeBQ,Маргинал смотрит обзор на советского Властелина кольца,2021-08-11,21954,861,67
133,ZdQRn6GXfXM,Маргинал смотрит про русскую тоску,2021-08-10,50569,2111,312
134,0d_NPKiLOBY,"Маргинал, Мэддисон, Вудуш и Флинн играют в Свою Игру",2021-08-07,136540,2975,256
135,VLvwxVcHgPc,Маргинал и Светов о политике и не только,2021-08-06,74475,2657,466
136,UXz9xmD-vp4,Маргинал смотрит про неудачные фэнтези-фильмы,2021-08-05,52405,1990,162
137,0QaX4KMjeVQ,Маргинал пояснил за лингвистику,2021-08-03,17195,906,78
138,mXldnySphog,Маргинал про свой путь донат-философа,2021-08-02,32246,1575,219
139,uW5wg-83Zo8,Светов и депутат Власов спорят о деле Хованского и судебной системе в РФ на стриме у Маргинала,2021-08-01,105474,4445,1756
140,z2iasm2Riyw,Маргинал угарает над славяно-арийскими письменностями,2021-07-31,181522,6244,392
141,FkcyoV9mg1g,Маргинал смотрит про фильмы по комиксам,2021-07-29,49855,1459,217
142,cpbPW6tevdM,Маргинал кринжует с родноверов,2021-07-28,53892,1742,347
143,ks1nikbrfbQ,Маргинальная политическая теория,2021-07-27,43053,1937,284
144,3fDy6xG4IZg,Маргинал и Сармат про европейские религиозные традиции,2021-07-26,27954,1175,164
145,7NUgbiVXES8,Маргинал спорит про аристократию и чувство прекрасного,2021-07-24,68026,2548,740
146,ZxtQbmiUlA8,Маргинал раскрыл секрет аниме,2021-07-23,44887,2127,913
147,x2dru0YLzxA,Маргинал рофлит с Бэбэем,2021-07-22,44544,1989,157
148,y0jzz9wkU64,Маргинал смотрит Дугина про Расколдованный мир,2021-07-21,36613,1803,170
149,AtaEhruozSo,Маргинал спорит с Дробышевским о природе человека,2021-07-19,73784,2402,437
150,11d1EKg0PtQ,Маргинал критикует бумера SiliconValleyVoice,2021-07-17,53345,1550,191
151,KaQ7ghUlIPE,Маргинал угарает с неграмотной журналистки,2021-07-16,49787,2052,268
152,jg6q0q7qCIg,Маргинал разбирает фейлы правых полит блоггеров,2021-07-15,39046,862,194
153,rZdJNGFqDkA,Маргинал пояснил за отличие иероглифов от букв,2021-07-14,31531,1885,219
154,ypmzDGdpS8k,Маргинал судит дебаты про смертную казнь,2021-07-13,97378,3398,642
155,a67spEkJldg,Каргин vs Шевченко про арабо-израильский конфликт,2021-07-12,13674,457,149
156,0Ys5r5OVqh4,Маргинал смотрит пупы #6,2021-07-11,77598,2486,89
157,Kfnuf9dXN9E,Маргинал против расизма противницы расизма,2021-07-10,61381,2105,429
158,OGCk9uVlDQ8,Маргинал смотрит расклад таро на себя,2021-07-09,58926,2110,426
159,M5xzSKlkvNM,Маргинал угарает с рофлов в Своей Игре,2021-07-08,61708,2459,132
160,veR-tyqNJP0,Маргинал пояснил за научность лингвистики,2021-07-07,18611,821,56
161,4MQu5zO6LgQ,Маргинал разбирает конфликт Гунера и Smile Face,2021-07-06,23083,736,324
162,2944DHrCVmc,D DON G в гостях у Маргинала,2021-07-05,33405,1965,244
163,3cDg_h2GtPQ,Маргинал про иррациональные поступки людей,2021-07-04,27934,1240,142
164,i3aYjg5jX9A,Маргинал определил тир-лист хорроров,2021-07-03,63313,1889,217
165,aqFtPRscxjE,Маргинал и Ватоадмин про налог на недвижимость,2021-07-02,28998,1281,115
166,G4hi2FBWl-k,Маргинал смотрит лекцию Маркова про современную эволюцию человека,2021-07-01,27015,1344,297
167,c-xfaNb4AU4,Маргинал смотрит криминальную психологию,2021-06-30,53338,1732,156
168,veV0ejFPUoY,Маргинал хочет отказаться от партнёрки твича | АСМР мета,2021-06-29,66446,2960,447
169,U54D3-dEUKU,Маргинал смотрит про гибель франшизы Чужого,2021-06-28,30355,1249,121
170,baYbAD760Yk,Маргинал защищает феминизм,2021-06-27,31588,1404,243
171,3p6IHBo6rlY,Маргинал смотрит пупы #5,2021-06-26,116801,3318,103
172,trbKcvtDznM,Маргинал и конфа спорят про концепцию постмодернизма,2021-06-25,24197,923,130
173,B9eLTb6ISms,Маргинал смотрит видео про неудачную смену пола,2021-06-24,58898,3099,406
174,LpeUu6aL5hk,Маргинал спорит с Сапольски про детерминизм и свободу воли,2021-06-23,44460,1367,301
175,y6OlNACfyeM,Маргинал про новые Пилу и Заклятье,2021-06-22,23090,875,82
176,YKW9p479U2A,Маргинал про смысл артхаусных фильмов,2021-06-21,31432,1243,270
177,s17Qqjp5y6c,Оля Розка в гостях у Маргинала | Деаноны и личные данные,2021-06-20,27261,787,267
178,iT6hP_NZhAI,Маргинал смотрит видео Флинна про пупы,2021-06-19,35652,1623,106
179,5CNOOjYEn1Y,Маргинал выбрал Путина вместо оппозиции а-ля Навальный,2021-06-18,82113,3354,545
180,xWP77G-tMKc,Маргинал выбирает между котами и собаками,2021-06-17,34128,1679,283
181,OpW4kgMNjJg,Маргинал смотрит видео про расизм в язычестве,2021-06-16,20594,663,90
182,LOEBuqoZJcg,Маргинал полчаса устанавливает кондиционер,2021-06-15,46834,2042,369
183,a-YSIf4tIGw,Маргинал смотрит Дугина про спорт и ЕГЭ,2021-06-14,21885,982,78
184,GVXX4Kl7MmM,Маргинал смотрит пупы #4,2021-06-12,128603,3955,177
185,c8nfOe6b1T4,Маргинал про арест Хованского,2021-06-11,109741,4991,866
186,eMrcVNr0XgQ,Маргинал и конфа про фильм Майор Гром и другие,2021-06-10,27602,1008,56
187,v5gU94Oarn4,Маргинал поясняет за детерминизм и свободу воли,2021-06-08,31070,1399,174
188,O2l2e8WaDKQ,Маргинал смотрит обзор на Неуязвимого,2021-06-06,46106,1624,227
189,CnvnwehvpEg,Маргинал про историю государственности России,2021-06-05,39275,1513,429
190,VOHxcNKTi7M,Маргинал смотрит пупы #3,2021-06-04,102120,3233,91
191,OTlJGmjdEUk,Сванидзе в гостях у Маргинала и Каргина,2021-06-02,18763,774,231
192,FI8lhY0V2PI,Маргинал смотрит GreenGrass про провалы Нечто и Алиты,2021-06-01,26848,998,101
193,TJeO6pBWT8I,Маргинал против снобизма в науке,2021-05-31,25238,1170,97
194,pHxTbNNw95I,Маргинал с похмелья смотрит Лысого банкрота в/на Украине,2021-05-30,24127,1024,99
195,VB6MVY5cBdA,Защита Савельева Redux 2.0,2021-05-29,30438,1038,168
196,ATcksKjIjx8,Маргинал опровергает тейки Vaush про Израильско-палестинский конфликт,2021-05-28,21675,903,148
197,akfbIe6pPN0,Маргинал смотрит пупы #2,2021-05-27,112635,3521,111
198,4t-DPL2i0zo,Маргинал защищает Дугина от нападок Шадова,2021-05-25,31112,1140,166
199,MeDoOWL1W74,Маргинал спорит про научные журналы и учёных,2021-05-24,22286,927,157
200,4TqDUJt2D28,Этнограф Михаил Членов в гостях у Маргинала,2021-05-23,35758,1692,323
201,jWovjOCZlVc,Маргинал кринжует от ролика Тхина про атеизм,2021-05-22,41492,1669,252
202,Ms8PsjKlTF0,"Круглый стол античной истории | Инквизиция, упадок Рима, крестовые походы, наука и философия",2021-05-21,28057,862,143
203,JwVXU_flUbo,Маргинал про конфликт Израиля и Палестины,2021-05-20,56256,2629,523
204,383UWXkKDLg,Маргинал слушает и поясняет за виски,2021-05-19,18769,461,60
205,qVEDRNILcI4,Росов неосторожно про Понасенкова и научность истории,2021-05-18,34631,1570,261
206,9jpt5sDQAAI,Маргинал сгорел от тейков Красного Циника про расизм,2021-05-17,72608,3039,348
207,piwg2nNi3jM,Маргинал про аниме и Голливуд,2021-05-16,27303,1096,319
208,yZnUA6ypnE8,Маргинал смотрит Скьёльда про Одина,2021-05-15,90171,2419,194
209,Ij5zEzfGfws,"Звонов, Алипов и Медик спорят о психиатрии на стриме у Маргинала",2021-05-14,27300,1056,177
210,h8RHKznvCGs,Маргинал со Всеволодом разбирают фрагмент Тхина про логику,2021-05-13,73047,1695,390
211,tOS9eMv0szU,Маргинал смеётся над пародиями на западных интернет знаменитостей,2021-05-12,21777,634,51
212,Z2q06_6xdHc,Маргинал смотрит Скьёльда про индоевропейскую прародину,2021-05-11,43599,1782,150
213,FuxoC33B6Qw,Поднебесный в гостях у Маргинала,2021-05-10,94141,3619,748
214,vS8grCKgzto,Маргинал про парад на 9 мая,2021-05-09,46498,1925,322
215,tOk6ZO1ptNE,Маргинал смотрит Вертолёта про Нику и Найк(и),2021-05-08,49986,2021,217
216,U5jzXFyeStY,Новая маргинальная конфа,2021-05-07,32523,1340,423
217,uhQFTfeL3Jc,Маргинал смотрит топ 5 sci-fi фильмов от JUST ILYA,2021-05-07,19557,911,86
218,S5ctDPE6KGg,Маргинал про языческое мировоззрение,2021-05-06,38585,1644,154
219,WeJf0r3nMro,Маргинал поясняет за марихуану,2021-05-06,50679,2186,374
220,zn0Z02sXmh8,Маргинал смотрит топ 10 мультфильмов от JUST ILYA,2021-05-05,35228,1246,131
221,LW9LyfziqTE,Маргинал защищает фильм Mortal Kombat,2021-05-04,25894,959,250
222,b8l6FrMbdYg,Реакция Маргинал на свою игру в cs:s,2021-05-03,35639,2512,111
223,NHpMeflIMXQ,Маргинал опровергает популярные марксистские тейки,2021-05-02,56121,1792,383
224,lyw_K5O_g64,Маргинал смотрит Флинна про ужасную атмосферу игр на Source,2021-05-01,52751,2358,119
225,oFuOMvlEdeY,Маргинал смотрит Стаса и Топлеса про религию,2021-04-30,131238,3039,274
226,iXDizDrV5rs,Маргинал без негатива про создательницу Сайхаба - Александру Элбакян,2021-04-29,32937,1280,301
227,gvK9ipopN5Q,Маргинал ударился в ностальгию по ТВ,2021-04-28,34004,1327,204
228,Mjecv78KRyU,Маргинал смотрит реакцию Стаса на критику Баженова,2021-04-27,165202,3106,360
229,pE7QT6gWhfI,Маргинал смотрит Озона #2​,2021-04-26,54872,1311,135
230,oNQZUhdSdkU,"Маргинал, Ватоадмин и Баженов про Стаса и коммунистов",2021-04-25,57417,1816,155
231,YfxFU_F2uks,Маргинал смотрит пупы,2021-04-24,224418,6583,216
232,htb7UjSp9EE,Маргинал раскрывает секрет похудения,2021-04-23,38066,1361,197
233,y2W2oIQiWIc,Маргинал против личного транспорта,2021-04-21,27310,1106,433
234,KaOyNYCHoSk,Маргинал угарает с бородача и его дермароллера,2021-04-20,40723,1557,166
235,cfayI1IffUE,Росов и Каджит определяют Россию будущего,2021-04-19,17651,657,151
236,aiDoPz2ernQ,Маргинал познал объёмное мышление,2021-04-17,50499,1871,246
237,_vip_vdoE7I,Маргинал защищает права трансгендеров,2021-04-16,40801,1441,556
238,a3sNi6HcGiw,Маргинал раскритиковал ролик про Шопенгауэра,2021-04-15,46174,1567,142
239,nFCBoSMUAZ8,Маргинал про долг перед обществом,2021-04-14,68714,2227,402
240,MLAbufmPwEA,Маргинал и маэстро Понасенков встретились,2021-04-13,487980,15831,1045
241,pov9qoji1_8,Маргинал защищает Дугина от нападок Понасенкова,2021-04-12,72077,2137,463
242,61Es32bC-wY,Маргинал в шоке от тейков Найшуллера и Поперечного про гражданское оружие,2021-04-10,73308,2458,431
243,5RdtFO2SAJQ,"Маргинал, Силентиум и Just Ilya про фильмы: Рассвет мертвецов, Хранители, Снайдеркат",2021-04-09,28507,720,92
244,lO8xwsEB990,Маргинал защищает Толкина от расизма Шульман,2021-04-08,78036,3060,342
245,LHt98rfsPec,Маргинал и Дарья Платонова о политике и религии,2021-04-07,46889,1714,325
246,v3OKLLZHY0c,Маргинал смотрит Падение Дона Савельона,2021-04-06,77531,2894,98
247,NQoJ0BYI75A,Маргинал опровергает тейки за существование Бога,2021-04-05,66788,1540,320
248,Ktmm-SGvdAo,Дебаты Росова и Каргина на тему противостояния Карфагена и Римской империи,2021-04-03,20009,700,220
249,kA-spp0h_Fo,Маргинал посмеялся с Дока и пояснил за Собор Молдбага,2021-04-02,28566,1047,182
250,jkd6A5RW-cg,Маргинал судит дебаты Сармата и Рудого,2021-04-01,97555,2313,235
251,FZoGCyBQneo,"Маргинал, Ларин и Каргин про моральные качества блоггеров на ютубе",2021-03-31,26409,857,64
252,YDQf-57ZzsA,"Маргинал и Силентиум обсуждают фильмы Чужой: Завет, Пекло и Пандорум",2021-03-30,33796,925,95
253,byxkeTosh50,Маргинал рассказал про инцидент с креслом,2021-03-29,28781,1107,112
254,zKw2em8DaSA,Маргинал плачет от интервью Собчак со Скопинским маньяком,2021-03-28,183788,5233,1245
255,-vMvOWTDN7U,Маргинал смотрит самые лучшие дебаты про феминизм,2021-03-27,40348,1527,170
256,0QI44jnq_Ls,Маргинал и Бояршинов про русскую народность,2021-03-26,16392,669,162
257,2GkVUa6VE4Y,Главный раввин Воронежа в гостях у Убермаргинала,2021-03-25,7421,257,49
258,keHPJLhsJg8,Маргинал уничтожает пранки,2021-03-24,29415,847,223
259,Nw8vzAurysM,Маргинал смотрит видео про девушку-снаряд,2021-03-23,26546,742,127
260,ApxZMLMU6lU,Маргинал и Медик про наркотики и проблемы с ними,2021-03-22,17499,739,74
261,vSIpmLTior4,Маргинал определяет жанр Sci Fi,2021-03-22,14874,623,91
262,rau7FOl8OGs,Маргинал и Вахштайн определяют понятие науки,2021-03-21,29035,1298,170
263,qIW_r0eZ_bk,Марго смотрит Ивана Гамаза,2021-03-20,26673,854,76
264,NQHJa3DlzYc,Мария с паблика Подручный в гостях у Убермаргинала,2021-03-20,11656,294,113
265,joRYgvY4xMY,Дебаты Лусинэ и Кота Васьки на стриме у Маргинала,2021-03-19,25246,764,126
266,HN9_gEkQX00,Маргинал про игры и рекламу на стримах,2021-03-18,17307,658,142
267,7vN7v3Ub8Yo,"Марго смотрит Женщины в хорроре: советую фильмы, снятые женщинами",2021-03-17,32833,1097,232
268,Orn1QCng-9Y,"Маргинал, Созидатель и Вудуш в Своей Игре",2021-03-16,22273,599,92
269,BpnijEvLedE,Маргинал против консолей,2021-03-16,19778,906,291
270,0hqcQMMDiNs,Маригнал и Коган про оружейные законы в РФ и США,2021-03-15,11211,545,69
271,eF0de4zpihc,Маргинал судит дебаты Минаева и Маршенкуловой,2021-03-15,30917,1103,186
272,HOy6uRH0vVo,Маргинал про поддельный снег в Техасе,2021-03-14,36773,1848,182
273,ZiUWwqTtV6Y,Маргинал против школьной программы математики,2021-03-13,21539,980,170
274,Ryjvq2joexw,Маргинал не комментирует интервью с Дугиным,2021-03-12,30909,832,89
275,3RB7x2b3hYg,Загадка про кино от Убермаргинала,2021-03-12,12695,608,50
276,rrNy-EEM1hc,Дебаты Давида Хомака и Александра Каргина на стриме Убермаргинала,2021-03-11,42930,1697,464
277,NvuLS8O44hE,Анатолий окунается в тренды ютуба,2021-03-10,50821,2470,198
278,pS2A88vLCrQ,Маргинал поясняет за античный гомосексуализм,2021-03-09,41464,1940,100
279,g4UYrAwBF4I,Маргинал и Коган беседуют о виски,2021-03-08,9844,332,28
280,1JfLoZz14C8,Как правильно вытирать жепу?,2021-03-07,18853,1063,184
281,1ZIjgxQIXpI,Бабуля Хиккана в гостях у Убермаргинала,2021-03-06,16477,975,118
